model,threshold,precision_churn_class,recall_churn_class,f1_churn_class,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,0.2,0.3857758620689655,0.9572192513368984,0.5499231950844854,463,570,16,358
logistic_regression,0.3,0.4145758661887694,0.9278074866310161,0.5730800990916598,543,490,27,347
logistic_regression,0.4,0.4482758620689655,0.8689839572192514,0.5914467697907189,633,400,49,325
logistic_regression,0.5,0.49174917491749176,0.7967914438502673,0.6081632653061224,725,308,76,298
logistic_regression,0.6,0.5426829268292683,0.713903743315508,0.6166281755196305,808,225,107,267
logistic_regression,0.7,0.6131578947368421,0.6229946524064172,0.6180371352785146,886,147,141,233
logistic_regression,0.8,0.6859903381642513,0.37967914438502676,0.48881239242685026,968,65,232,142
random_forest,0.2,0.44942196531791906,0.8315508021390374,0.5834896810506567,652,381,63,311
random_forest,0.3,0.5123339658444023,0.7219251336898396,0.5993340732519423,776,257,104,270
random_forest,0.4,0.5677749360613811,0.5935828877005348,0.5803921568627451,864,169,152,222
random_forest,0.5,0.621160409556314,0.48663101604278075,0.545727136431784,922,111,192,182
random_forest,0.6,0.6575342465753424,0.3850267379679144,0.4856661045531197,958,75,230,144
random_forest,0.7,0.6993865030674846,0.3048128342245989,0.4245810055865922,984,49,260,114
random_forest,0.8,0.7126436781609196,0.1657754010695187,0.26898047722342733,1008,25,312,62
hist_gradient_boosting,0.2,0.4734375,0.8101604278074866,0.5976331360946746,696,337,71,303
hist_gradient_boosting,0.3,0.5232558139534884,0.7219251336898396,0.6067415730337079,787,246,104,270
hist_gradient_boosting,0.4,0.5657276995305164,0.6443850267379679,0.6025,848,185,133,241
hist_gradient_boosting,0.5,0.5919003115264797,0.5080213903743316,0.5467625899280576,902,131,184,190
hist_gradient_boosting,0.6,0.6514522821576764,0.4197860962566845,0.510569105691057,949,84,217,157
hist_gradient_boosting,0.7,0.7320261437908496,0.2994652406417112,0.4250474383301708,992,41,262,112
hist_gradient_boosting,0.8,0.8125,0.17379679144385027,0.28634361233480177,1018,15,309,65
